ID da Mensagem;Tipo da Mensagem;ID Chatbot;ID da Mensagem no Chatbot;ID do Chatbot de Referência;ID do Usuário Origem;ID do Contato Origem;ID do Usuário Destino;ID do COntato Destino;Tipo do Conteúdo;URL;Polaridade;Tempo de Foco;Visualizações;Favoritada;Chat Aberto;Data de Registro;Data de Envio;Conteúdo
1851;Mensagem Alvo;13;3;13;0;11;4;;Textual;;0.1007;0.0;0;;false;10/05/2021 21:05:16;10/05/2021 21:05:16;Vamos para o que importa, né ?! (Emoji Sem Plavras) <br/> A notícia que mais impactou nos portais foi a seguinte: <br/> Chacina do Jacarezinho no Rio de Janeiro. Um policial que faz este tipo de abordagem passa a ser bandido. Policial tem que ser treinado para prender e para se defender, e não para matar. É assim em todos os países desenvolvidos… Policial treinado para matar é polícia miliciana. Essa cena lamentável e inaceitável é uma cena de execução de uma pessoa já rendida, já desarmada e já sem representar qualquer perigo para os policiais. Um absurdo! O policial não pode agir como o bandido. Caso contrário, ele se transforma em um bandido igual ou pior. <br/> Você gostaria de ver esse vídeo? (Emoji Confuso)(Emoji Perseverante)
1850;Mensagem Alvo;13;2;13;0;11;4;;Imagem;;;0.0;0;;false;10/05/2021 21:05:16;10/05/2021 21:05:16;https://www.hypeness.com.br/1/2021/05/05f53c75-700.jpg
1849;Resposta Alvo;;;13;4;11;0;;Textual;;0.0;0.0;0;;false;10/05/2021 21:05:16;10/05/2021 21:05:16;Oi
1848;Resposta de Controle;;;;0;9;4;;Textual;;0.0;1.443;1;;true;10/05/2021 21:05:07;10/05/2021 21:05:07;Olá! Não posso responder no momento, assim que possível entro em contato.
1847;Resposta de Controle;;;;4;9;0;;Textual;;0.296;0.0;0;;true;10/05/2021 21:05:07;10/05/2021 21:05:07;Okk
1846;Resposta de Controle;;;;0;9;4;;Textual;;0.0;4.481;2;;true;10/05/2021 21:05:00;10/05/2021 21:05:00;Olá! Não posso responder no momento, assim que possível entro em contato.
1845;Resposta Alvo;;;;4;9;0;;Textual;;0.0;0.0;0;;true;10/05/2021 21:05:00;10/05/2021 21:05:00;(Emoji Sem Chorando)(Emoji Sem Chorando)
1844;Resposta de Controle;;;;0;77;25;;Textual;;0.0;1.267;1;;true;10/05/2021 17:09:08;10/05/2021 17:09:08;Olá! Não posso responder no momento, assim que possível entro em contato.
1843;Resposta Alvo;;;;25;77;0;;Textual;;0.0;0.0;0;;true;10/05/2021 17:09:08;10/05/2021 17:09:08;(Emoji Encantado)
1842;Mensagem de Controle;13;5;13;0;38;13;;Textual;;0.0;0.0;0;;true;10/05/2021 16:04:06;10/05/2021 16:04:06;Até mais! (Emoji Desapontado)
1841;Mensagem de Controle;13;4;13;0;38;13;;Textual;;-0.34;0.0;0;;true;10/05/2021 16:04:06;10/05/2021 16:04:06;Infelizmente não podemos passar ele (Emoji Desapontado)...
1840;Resposta Alvo;;;13;13;38;0;;Textual;;-0.296;0.0;0;;true;10/05/2021 16:04:06;10/05/2021 16:04:06;Não
